FullPath,FamilyName,FileHashes
C:\Windows\temp\FileZilla_3.67.1_win64_sponsored2-setup.exe,Inc Ransom,"{""md5"":""b209df2951e29ab5eab4009579b10b8d"",""sha1"":""99ed6135defff6e675d626f742389d6280abdb60"",""sha256"":""76491df69a26019139ac11117cd21bf5d0257a5ebd3d67837f558c8c9c3483d8""}"
C:\Windows\temp\set.bat,Inc Ransom,"{""md5"":""b39edd2f5c025d5a77c507f4facd67bd"",""sha1"":""beb7059845d3c27edafdac5e37c911ccbd086e9e"",""sha256"":""9adde14c1c7596359e1a3912da625266414fa602d7de6027c8c7c55a3e6621e2""}"
C:\Windows\temp\rustic.exe,Inc Ransom,"{""md5"":""b52f951828537ab7d1be32591f2850f2"",""sha1"":""bfa5e76f7dd50f15925339cbdcdc125c9ac05d94"",""sha256"":""a0915b1c568ed0a58e8f5afc400591b690afd6b1a9c66da8c5f1ccaf3d1715e5""}"
C:\users\user\Desktop\New folder\Everything.exe,Inc Ransom,"{""md5"":""bd2df63d592c02ef3ef636648ee237cc"",""sha1"":""59486472c37789cced6d808d90ceb4de4bfd1944"",""sha256"":""8af53ee05abd7ed90db4c7f06be686e8086fe5ea536d72bebaee2bcdf9cc4dce""}"
C:\users\user\Desktop\Desktop\!APPS\7z2301-x64.exe,Inc Ransom,"{""md5"":""e5788b13546156281bf0a4b38bdd0901"",""sha1"":""7df28d340d7084647921cc25a8c2068bb192bdbb"",""sha256"":""26cb6e9f56333682122fafe79dbcdfd51e9f47cc7217dccd29ac6fc33b5598cd""}"
C:\Windows\PSEXESVC.exe,Interlock,"{""md5"":""07c6b4756715d73304ec0ebc951dddad"",""sha1"":""eeafa71946e81d8fe5ebf6be53e83a84dcca50ba"",""sha256"":""9d00158489f0a399fc0bc3ce1e8fc309d29a327f6ea0097e34e0f49b72a85079""}"
C:\Windows\PSEXESVC.exe,Lockbit 3.0,"{""md5"":""75b55bb34dac9d02740b9ad6b6820360"",""sha1"":""a17c21b909c56d93d978014e63fb06926eaea8e7"",""sha256"":""141b2190f51397dbd0dfde0e3904b264c91b6f81febc823ff0c33da980b69944""}"
C:\users\user\Downloads\putty.exe,Lockbit 3.0,"{""md5"":""dcf21ca46349ce36f7866c24f1f60f0f"",""sha1"":""fafe9c2c410aed31084c98892ad05237f709de81"",""sha256"":""961b36bb78d27b3432fae08e5c4272fe295b5e24e832c6f6bf1ec3cf87057dab""}"
C:\Windows\temp\windows.exe,Lynx,"{""md5"":""7206696841bf21a772bcea5306495885"",""sha1"":""1b22456612b2815995154fd39f52cbc100cffed7"",""sha256"":""dd6c83b9a92ef15e331ecf40b5fdb581f68bacf4b2981b7d4ba6625f6bc9b8b2""}"
C:\users\user\Downloads\openssh6.zip,Medusa,"{""md5"":""01b3979a498a825b229bdbe9d3b1f319"",""sha1"":""f869bc4fc97bef0890506a299bbb2f4898977922"",""sha256"":""6b29628aacc92e7414ce034285aece301265d1f26e18c6cae4112540592dd82a""}"
